PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_293	chr10	128565881	128566236	+	65	NA	promoter-TSS (NM_011119)	promoter-TSS (NM_011119)	-124	NM_011119	18813	Mm.4742	NM_011119	ENSMUSG00000025364	Pa2g4	38kDa|AA672939|Ebp1|Plfap	proliferation-associated 2G4	protein-coding
Sanchez_et_al_peak_2485	chr8	116943194	116943337	+	65	NA	promoter-TSS (NM_177700)	promoter-TSS (NM_177700)	-128	NM_177700	234776	Mm.259736	NM_177700	ENSMUSG00000047388	Atmin	Asciz|gpg6|mKIAA0431	ATM interactor	protein-coding
Sanchez_et_al_peak_1493	chr2	144271004	144271310	+	65	NA	promoter-TSS (NM_024225)	promoter-TSS (NM_024225)	253	NM_001355688	74528	Mm.386817	NM_028984	ENSMUSG00000027424	Mgme1	8430406I07Rik|AI426476	mitochondrial genome maintenance exonuclease 1	protein-coding
Sanchez_et_al_peak_1411	chr2	34927452	34927593	+	65	NA	Intergenic	Intergenic	-13546	NM_028716	74016	Mm.65691	NM_028716	ENSMUSG00000026873	Phf19	3110009G19Rik|3321402G02Rik	PHD finger protein 19	protein-coding
Sanchez_et_al_peak_508	chr11	116628956	116629103	+	65	NA	Intergenic	Intergenic	-2010	NM_172572	217344	Mm.89695	NM_172572	ENSMUSG00000020806	Rhbdf2	4732465I17Rik|Rhbdl6|cub	rhomboid 5 homolog 2	protein-coding
Sanchez_et_al_peak_346	chr11	50377578	50377735	+	65	NA	promoter-TSS (NM_001362522)	promoter-TSS (NM_001362522)	-22	NM_001362522	59013	Mm.21740	NM_021510	ENSMUSG00000007850	Hnrnph1	AI642080|E430005G16Rik|Hnrnph|Hnrph1	heterogeneous nuclear ribonucleoprotein H1	protein-coding
Sanchez_et_al_peak_1002	chr16	29861041	29861282	+	65	NA	Intergenic	Intergenic	117963	NR_037689	328657	Mm.425982	NM_001033403	ENSMUSG00000075286	Gm1968	-	predicted gene 1968	ncRNA
Sanchez_et_al_peak_746	chr14	24490764	24490963	+	65	NA	5' UTR (NM_001360586, exon 1 of 6)	5' UTR (NM_001360586, exon 1 of 6)	110	NM_001360586	20088	Mm.16775	NM_011297	ENSMUSG00000025290	Rps24	-	ribosomal protein S24	protein-coding
Sanchez_et_al_peak_1934	chr5	122770267	122770384	+	65	NA	intron (NM_001199676, intron 1 of 16)	intron (NM_001199676, intron 1 of 16)	9085	NM_001199676	207565	Mm.289237	NM_145358	ENSMUSG00000029471	Camkk2	6330570N16Rik|AW061083|mKIAA0787	calcium/calmodulin-dependent protein kinase kinase 2, beta	protein-coding
Sanchez_et_al_peak_1949	chr5	125441272	125441395	+	65	NA	promoter-TSS (NM_001359486)	promoter-TSS (NM_001359486)	-235	NM_029752	76809	Mm.290720	NM_029752	ENSMUSG00000037905	Bri3bp	2410150I18Rik|AI841257|AW742481	Bri3 binding protein	protein-coding
Sanchez_et_al_peak_306	chr11	6267698	6267885	+	65	NA	promoter-TSS (NM_026538)	promoter-TSS (NM_026538)	-62	NM_026538	52513	Mm.29810	NM_026538	ENSMUSG00000004393	Ddx56	2600001H07Rik|D11Ertd619e|Noh61	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	protein-coding
Sanchez_et_al_peak_1305	chr19	29521101	29521301	+	65	NA	intron (NR_015567, intron 1 of 3)	intron (NR_015567, intron 1 of 3)	786	NR_015567	77779	Mm.458738	NR_015567	ENSMUSG00000097855	A930007I19Rik	-	RIKEN cDNA A930007I19 gene	ncRNA
Sanchez_et_al_peak_382	chr11	70313987	70314110	+	65	NA	Intergenic	B2_Mm2|SINE|B2	8482	NM_145684	11685	Mm.274093	NM_145684	ENSMUSG00000018907	Alox12e	12-LOX|8-LOX|AW259591|Alox12-ps1|Alox12-ps2|Aloxe|e-LOX1	arachidonate lipoxygenase, epidermal	protein-coding
Sanchez_et_al_peak_1471	chr2	127208201	127208325	+	65	NA	promoter-TSS (NM_198630)	promoter-TSS (NM_198630)	17	NM_198630	329509	Mm.120738	NM_198630	ENSMUSG00000044145	1810024B03Rik	-	RIKEN cDNA 1810024B03 gene	protein-coding
Sanchez_et_al_peak_2577	chr9	63377903	63378085	+	65	NA	promoter-TSS (NM_001364494)	promoter-TSS (NM_001364494)	-92	NM_001364492	23938	Mm.325746	NM_011840	ENSMUSG00000058444	Map2k5	AI324775|AI428457|MEK5|Mapkk5|Prkmk5	mitogen-activated protein kinase kinase 5	protein-coding
Sanchez_et_al_peak_1851	chr5	24447855	24447976	+	65	NA	promoter-TSS (NM_022418)	promoter-TSS (NM_022418)	-69	NM_022418	64295	Mm.150098	NM_022418	ENSMUSG00000028958	Tmub1	2010004O20Rik|AB030183|Hops	transmembrane and ubiquitin-like domain containing 1	protein-coding
Sanchez_et_al_peak_1420	chr2	39004986	39005103	+	65	NA	promoter-TSS (NM_025592)	promoter-TSS (NM_025592)	87	NM_025592	66489	Mm.345333	NM_025592	ENSMUSG00000062997	Rpl35	2410039E09Rik	ribosomal protein L35	protein-coding
Sanchez_et_al_peak_2138	chr6	115992864	115993116	+	65	NA	intron (NM_026376, intron 1 of 35)	intron (NM_026376, intron 1 of 35)	2015	NM_026376	67784	Mm.3085	NM_026376	ENSMUSG00000030123	Plxnd1	6230425C21Rik|b2b1863Clo|b2b553Clo	plexin D1	protein-coding
Sanchez_et_al_peak_1291	chr19	10895195	10895339	+	65	NA	promoter-TSS (NM_001253843)	promoter-TSS (NM_001253843)	36	NM_001253843	28000	Mm.491104	NM_134129	ENSMUSG00000024735	Prpf19	AA617263|AL024362|D19Wsu55e|NMP200|PSO4|Prp19|Snev	pre-mRNA processing factor 19	protein-coding
Sanchez_et_al_peak_2393	chr8	13338262	13338540	+	65	NA	promoter-TSS (NM_001358991)	promoter-TSS (NM_001358991)	-350	NM_001291765	21781	Mm.925	NM_009361	ENSMUSG00000038482	Tfdp1	Dp1|Drtf1	transcription factor Dp 1	protein-coding
Sanchez_et_al_peak_2255	chr7	45707666	45707828	+	65	NA	intron (NM_016974, intron 2 of 3)	intron (NM_016974, intron 2 of 3)	2500	NM_016974	13170	Mm.24222	NM_016974	ENSMUSG00000059824	Dbp	-	D site albumin promoter binding protein	protein-coding
Sanchez_et_al_peak_638	chr13	21419011	21419149	+	65	NA	Intergenic	Intergenic	-16325	NM_001145778	72739	Mm.296071	NM_023685	ENSMUSG00000021327	Zkscan3	2810435N07Rik|AA408594|AI132359|Skz1|Zf47|Zfp-47|Zfp306|Zfp307|mszf35	zinc finger with KRAB and SCAN domains 3	protein-coding
Sanchez_et_al_peak_2229	chr7	29815902	29816097	+	65	NA	promoter-TSS (NM_001145880)	promoter-TSS (NM_001145880)	-73	NM_146185	233056	Mm.224766	NM_146185	ENSMUSG00000011427	Zfp790	6330581L23Rik	zinc finger protein 790	protein-coding
Sanchez_et_al_peak_212	chr10	75568600	75568768	+	65	NA	promoter-TSS (NM_001305992)	promoter-TSS (NM_001305992)	22	NM_001305992	14598	Mm.4559	NM_008116	ENSMUSG00000006345	Ggt1	CD224|GGT|GGT 1|GGT-1|Ggtp|dwg	gamma-glutamyltransferase 1	protein-coding
Sanchez_et_al_peak_1739	chr4	108387692	108387859	+	65	NA	Intergenic	Intergenic	-4120	NM_001099303	545667	Mm.380025	NM_001099303	ENSMUSG00000059816	Shisal2a	Fam159a	shisa like 2A	protein-coding
Sanchez_et_al_peak_1543	chr2	170543769	170543905	+	65	NA	Intergenic	RMER2|LTR|ERV1	-31910	NR_040367	100502946	Mm.421284	NR_040367	ENSMUSG00000085495	Gm16796	-	predicted gene, 16796	ncRNA
Sanchez_et_al_peak_801	chr14	76414095	76414261	+	65	NA	promoter-TSS (NM_001310646)	promoter-TSS (NM_001310646)	-783	NM_001310646	21807	Mm.153272	NM_009366	ENSMUSG00000022010	Tsc22d1	AA589566|AW105905|Egr5|TSC-22|Tgfb1i4|Tsc|Tsc22	TSC22 domain family, member 1	protein-coding
Sanchez_et_al_peak_1941	chr5	123683158	123683275	+	65	NA	intron (NM_001359220, intron 1 of 23)	intron (NM_001359220, intron 1 of 23)	1145	NM_001291229	56430	Mm.241109	NM_019765	ENSMUSG00000049550	Clip1	1110007I12Rik|4631429H07Rik|AV017631|C81039|CLIP-170|CLIP170|CYLN1|Clip50|Rsn|mKIAA4046|restin	CAP-GLY domain containing linker protein 1	protein-coding
Sanchez_et_al_peak_540	chr12	16618920	16619056	+	65	NA	Intergenic	Intergenic	-8022	NM_001355598	14245	Mm.153625	NM_015763	ENSMUSG00000020593	Lpin1	Lipin1|fld	lipin 1	protein-coding
Sanchez_et_al_peak_2546	chr9	43252058	43252196	+	65	NA	Intergenic	B4|SINE|B4	-7752	NM_001243261	235302	Mm.135745	NM_001243261		D630033O11Rik	Gm588	RIKEN cDNA D630033O11 gene	protein-coding
Sanchez_et_al_peak_2115	chr6	91685365	91685507	+	65	NA	intron (NM_009320, intron 1 of 14)	intron (NM_009320, intron 1 of 14)	1369	NM_009320	21366	Mm.395650	NM_009320	ENSMUSG00000030096	Slc6a6	AA589629|C80501|Taut	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	protein-coding
Sanchez_et_al_peak_88	chr1	131845130	131845349	+	65	NA	intron (NM_173865, intron 10 of 10)	intron (NM_173865, intron 10 of 10)	17227	NM_173865	98396	Mm.389181	NM_173865	ENSMUSG00000013275	Slc41a1	AI573938|B230315F01Rik	solute carrier family 41, member 1	protein-coding
Sanchez_et_al_peak_1165	chr17	75551791	75551912	+	65	NA	promoter-TSS (NM_001357860)	promoter-TSS (NM_001357860)	95	NM_133747	72722	Mm.24641	NM_133747	ENSMUSG00000002017	Fam98a	2810405J04Rik|AL024114	family with sequence similarity 98, member A	protein-coding
Sanchez_et_al_peak_1859	chr5	32785307	32785457	+	65	NA	intron (NM_177298, intron 1 of 7)	CpG	244	NM_177298	320951	Mm.273765	NM_177298	ENSMUSG00000023452	Pisd	9030221M09Rik	phosphatidylserine decarboxylase	protein-coding
Sanchez_et_al_peak_653	chr13	37507300	37507450	+	65	NA	Intergenic	Intergenic	162030	NM_010745	17084	Mm.2639	NM_010745	ENSMUSG00000021423	Ly86	MD-1|MD1|ly86_tv2	lymphocyte antigen 86	protein-coding
Sanchez_et_al_peak_511	chr11	116693930	116694049	+	65	NA	intron (NM_009180, intron 1 of 8)	intron (NM_009180, intron 1 of 8)	671	NM_009180	20446	Mm.3947	NM_009180	ENSMUSG00000057286	St6galnac2	II|ST6GalNAc|Siat7|Siat7b	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	protein-coding
Sanchez_et_al_peak_2386	chr7	142020925	142021056	+	65	NA	intron (NM_001357705, intron 1 of 4)	intron (NM_001357705, intron 1 of 4)	28811	NR_037291	100526509		NR_037291	ENSMUSG00000092652	Mir3104	mir-3104|mmu-mir-3104	microRNA 3104	ncRNA
Sanchez_et_al_peak_2265	chr7	63765811	63765938	+	65	NA	Intergenic	Intergenic	-150983	NM_001256311	381994	Mm.425466	NM_001256311	ENSMUSG00000095061	E030018B13Rik	Gm1697	RIKEN cDNA E030018B13 gene	protein-coding
Sanchez_et_al_peak_2159	chr6	124965147	124965289	+	65	NA	intron (NM_001355542, intron 1 of 7)	CpG	320	NM_001355541	26894	Mm.244536	NM_012003	ENSMUSG00000030127	Cops7a	D6Ertd35e|SGN7a	COP9 signalosome subunit 7A	protein-coding
Sanchez_et_al_peak_2025	chr6	31090881	31091110	+	65	NA	Intergenic	MIR|SINE|MIR	-27902	NR_029532	387223		NR_029532	ENSMUSG00000065604	Mir29b-1	Mirn29b|Mirn29b-1|mir-29b-1	microRNA 29b-1	ncRNA
Sanchez_et_al_peak_1176	chr17	87105211	87105328	+	65	NA	Intergenic	Intergenic	-2410	NM_019654	56468	Mm.126885	NM_019654	ENSMUSG00000037104	Socs5	1810018L08Rik|Cish5|mKIAA0671	suppressor of cytokine signaling 5	protein-coding
Sanchez_et_al_peak_1815	chr4	148873039	148873180	+	65	NA	intron (NM_027195, intron 2 of 15)	intron (NM_027195, intron 2 of 15)	-16238	NR_161310	69743	Mm.233879	NM_027195	ENSMUSG00000028977	Casz1	2410019P08Rik|AV096627|BC040081|Cst|D4Ertd432e	castor zinc finger 1	protein-coding
Sanchez_et_al_peak_2281	chr7	73595245	73595410	+	65	NA	Intergenic	Intergenic	-36932	NR_037569	69170	Mm.34539	NR_037569	ENSMUSG00000101970	1810026B05Rik	-	RIKEN cDNA 1810026B05 gene	ncRNA
Sanchez_et_al_peak_680	chr13	60455395	60455550	+	65	NA	Intergenic	Intergenic	-146475	NM_029653	69635	Mm.24103	NM_029653	ENSMUSG00000021559	Dapk1	D13Ucla1|DAP-Kinase	death associated protein kinase 1	protein-coding
Sanchez_et_al_peak_2310	chr7	100493709	100493845	+	65	NA	intron (NM_011671, intron 1 of 7)	intron (NM_011671, intron 1 of 7)	419	NM_011671	22228	Mm.171378	NM_011671	ENSMUSG00000033685	Ucp2	Slc25a8|UCP 2|UCPH	uncoupling protein 2 (mitochondrial, proton carrier)	protein-coding
Sanchez_et_al_peak_1404	chr2	32587791	32587917	+	65	NA	intron (NM_001276425, intron 2 of 5)	ID4|SINE|ID	776	NM_001276425	20448	Mm.27446	NM_011373	ENSMUSG00000079442	St6galnac4	SIAT7-D|ST6GalNAcIV|Siat7d	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	protein-coding
Sanchez_et_al_peak_709	chr13	98240186	98240376	+	65	NA	Intergenic	Intergenic	22711	NM_178918	105372	Mm.28221	NM_178918	ENSMUSG00000041747	Utp15	AW544865	UTP15 small subunit processome component	protein-coding
Sanchez_et_al_peak_1758	chr4	119922983	119923103	+	65	NA	intron (NM_010657, intron 1 of 8)	intron (NM_010657, intron 1 of 8)	108365	NM_010657	16656	Mm.302758	NM_010657	ENSMUSG00000028634	Hivep3	2900056N03Rik|A130075N07|AI848000|E030045D18Rik|KBP-1|KBP1|Krc|Rc|Schnurri-3|Shn3|Zas3	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
Sanchez_et_al_peak_1180	chr17	88421419	88421542	+	65	NA	Intergenic	Intergenic	-19224	NM_001355743	14236	Mm.112824	NM_180974	ENSMUSG00000034998	Foxn2	3230402J05Rik|6030465J18Rik|Fkh19|Foxn1|HTLF	forkhead box N2	protein-coding
Sanchez_et_al_peak_970	chr15	103239901	103240056	+	65	NA	promoter-TSS (NR_002885)	promoter-TSS (NR_002885)	-126	NM_001076789	12419	Mm.262059	NM_007626	ENSMUSG00000009575	Cbx5	2610029O15Rik|C75991|HP1|Hp1a|Hp1alpha	chromobox 5	protein-coding
Sanchez_et_al_peak_2226	chr7	29341841	29341960	+	65	NA	intron (NM_001081028, intron 16 of 22)	intron (NM_001081028, intron 16 of 22)	33899	NM_001368371	29861	Mm.101885	NM_013874	ENSMUSG00000030584	Dpf1	Neud4	D4, zinc and double PHD fingers family 1	protein-coding
Sanchez_et_al_peak_1029	chr16	38752587	38752704	+	65	NA	intron (NM_019804, intron 2 of 6)	intron (NM_019804, intron 2 of 6)	10386	NM_019804	56375	Mm.182377	NM_019804	ENSMUSG00000022793	B4galt4	9130402O08Rik|B4galt-IV|b4Gal-T4|beta4Gal-T4|beta4GalT-IV	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4	protein-coding
Sanchez_et_al_peak_1406	chr2	32852334	32852492	+	65	NA	Intergenic	Intergenic	-5176	NM_001113569	20910	Mm.278865	NM_009295	ENSMUSG00000026797	Stxbp1	AI317162|AI326233|MMS10-G|Ms10g|Munc-18a|Munc18-1|N-sec1|Rb-sec1|Sxtbp1|Unc18-1|Unc18h|nsec1	syntaxin binding protein 1	protein-coding
Sanchez_et_al_peak_1917	chr5	110094369	110094505	+	65	NA	Intergenic	Intergenic	-5532	NM_207279	403178	Mm.297057	NM_207279	ENSMUSG00000064247	Plcxd1	A330045H12Rik|Gm576	phosphatidylinositol-specific phospholipase C, X domain containing 1	protein-coding
Sanchez_et_al_peak_2413	chr8	33610186	33610306	+	65	NA	intron (NM_017374, intron 1 of 6)	B3A|SINE|B2	10625	NM_017374	19053	Mm.29301	NM_017374	ENSMUSG00000009630	Ppp2cb	AI115466|D8Ertd766e|PP2Ac	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	protein-coding
Sanchez_et_al_peak_645	chr13	23573049	23573258	+	65	NA	TTS (NM_178195)	TTS (NM_178195)	1054	NM_178195	319180		NM_178195	ENSMUSG00000069268	Hist1h2bf	-	histone cluster 1, H2bf	protein-coding
Sanchez_et_al_peak_388	chr11	73016140	73016302	+	65	NA	intron (NR_152202, intron 2 of 2)	intron (NR_152202, intron 2 of 2)	2620	NR_152202	100043309	Mm.340872	NR_152202	ENSMUSG00000086943	4732414G09Rik	-	RIKEN cDNA 4732414G09 gene	ncRNA
Sanchez_et_al_peak_210	chr10	75054274	75054402	+	65	NA	3' UTR (NM_001359270, exon 11 of 11)	3' UTR (NM_001359270, exon 11 of 11)	-6558	NM_001081412	110279	Mm.333722	NM_001081412	ENSMUSG00000009681	Bcr	5133400C09Rik|AI561783|AI853148|mKIAA3017	breakpoint cluster region	protein-coding
Sanchez_et_al_peak_2466	chr8	104374390	104374545	+	65	NA	intron (NM_153582, intron 1 of 3)	L1ME1|LINE|L1	21340	NM_153582	97487	Mm.29658	NM_153582	ENSMUSG00000096188	Cmtm4	Cklfsf4|D19397|Gm9853	CKLF-like MARVEL transmembrane domain containing 4	protein-coding
Sanchez_et_al_peak_1688	chr3	152474835	152474952	+	65	NA	intron (NM_001081277, intron 12 of 13)	intron (NM_001081277, intron 12 of 13)	78209	NM_001287139	108946	Mm.379292	NM_198416	ENSMUSG00000039068	Zzz3	3110065C23Rik|6430567E01Rik|AA408566|AI481057|AW556059|R75514	zinc finger, ZZ domain containing 3	protein-coding
Sanchez_et_al_peak_893	chr15	76477186	76477402	+	65	NA	promoter-TSS (NM_008296)	promoter-TSS (NM_008296)	-45	NM_013481	12181	Mm.4283	NM_013481	ENSMUSG00000022557	Bop1	AU020183|AW146150|D18861|Erb1p|Kiaa0124|mKIAA0124	block of proliferation 1	protein-coding
Sanchez_et_al_peak_1047	chr16	88551855	88551996	+	65	NA	Intergenic	Intergenic	11258	NM_018778	54420	Mm.25836	NM_018778	ENSMUSG00000050520	Cldn8	AI648025	claudin 8	protein-coding
Sanchez_et_al_peak_1100	chr17	28561912	28562038	+	65	NA	Intergenic	Intergenic	-1209	NM_025469	109791	Mm.21160	NM_025469	ENSMUSG00000024225	Clps	2200003J09Rik	colipase, pancreatic	protein-coding
Sanchez_et_al_peak_978	chr16	5145769	5145900	+	65	NA	Intergenic	Intergenic	-1275	NM_001127725	665119	Mm.102072	NM_001127725	ENSMUSG00000091712	Sec14l5	-	SEC14-like lipid binding 5	protein-coding
Sanchez_et_al_peak_1392	chr2	28629927	28630044	+	65	NA	Intergenic	Intergenic	-8003	NM_001160406	14582	Mm.373385	NM_008114	ENSMUSG00000026815	Gfi1b	Gfi-1B	growth factor independent 1B	protein-coding
Sanchez_et_al_peak_74	chr1	119526363	119526480	+	65	NA	5' UTR (NM_146103, exon 1 of 1)	5' UTR (NM_146103, exon 1 of 1)	267	NM_146103	226351	Mm.439806	NM_146103	ENSMUSG00000098923	Tmem185b	2500001K11Rik	transmembrane protein 185B	protein-coding
Sanchez_et_al_peak_1294	chr19	15925111	15925249	+	65	NA	promoter-TSS (NM_001205339)	promoter-TSS (NM_001205339)	-121	NM_177420	107272	Mm.289936	NM_177420	ENSMUSG00000024640	Psat1	D8Ertd814e|EPIP|PSA|Psat	phosphoserine aminotransferase 1	protein-coding
Sanchez_et_al_peak_1618	chr3	95228380	95228512	+	65	NA	promoter-TSS (NM_001038708)	promoter-TSS (NM_001038708)	22	NM_172395	57912	Mm.28189	NM_172395	ENSMUSG00000046722	Cdc42se1	1300002M12Rik|AW558204|Cdcse1|SCIP1|Spec1	CDC42 small effector 1	protein-coding
Sanchez_et_al_peak_2202	chr7	16784593	16784732	+	65	NA	intron (NM_009201, intron 1 of 8)	intron (NM_009201, intron 1 of 8)	3316	NM_009201	20514	Mm.1056	NM_009201	ENSMUSG00000001918	Slc1a5	AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC|Slc1a7	solute carrier family 1 (neutral amino acid transporter), member 5	protein-coding
Sanchez_et_al_peak_1410	chr2	34826495	34826648	+	65	NA	promoter-TSS (NM_013890)	promoter-TSS (NM_013890)	-336	NM_001164770	30050	Mm.4465	NM_013890	ENSMUSG00000035949	Fbxw2	2700071L08Rik|FBW2|Fwd2|MD6	F-box and WD-40 domain protein 2	protein-coding
Sanchez_et_al_peak_1422	chr2	49569988	49570127	+	65	NA	Intergenic	Intergenic	-49229	NM_008449	16574	Mm.256342	NM_008449	ENSMUSG00000026764	Kif5c	KINN|Khc|NKHC|NKHC2	kinesin family member 5C	protein-coding
Sanchez_et_al_peak_1730	chr4	86886041	86886271	+	65	NA	intron (NM_139306, intron 1 of 5)	intron (NM_139306, intron 1 of 5)	11742	NM_001290541	230379	Mm.45019	NM_139306	ENSMUSG00000038007	Acer2	2410116I05Rik|Asah3l|CRG-L1|maCER2	alkaline ceramidase 2	protein-coding
Sanchez_et_al_peak_1021	chr16	35771265	35771386	+	65	NA	intron (NR_152314, intron 1 of 8)	RMER17C|LTR|ERVK	939	NM_175111	66667	Mm.45272	NM_175111	ENSMUSG00000022849	Hspbap1	3830421G21Rik	Hspb associated protein 1	protein-coding
Sanchez_et_al_peak_2052	chr6	51333605	51333815	+	65	NA	Intergenic	Intergenic	-46000	NR_110455	625167	Mm.389772	NR_110455	ENSMUSG00000107660	Gm6559	EG625167	predicted gene 6559	ncRNA
Sanchez_et_al_peak_354	chr11	55314763	55314926	+	65	NA	Intergenic	Intergenic	-2587	NM_001029988	245827	Mm.339363	NM_001029988	ENSMUSG00000055333	Fat2	EMI2|Fath2|Gm523|mKIAA0811	FAT atypical cadherin 2	protein-coding
Sanchez_et_al_peak_387	chr11	73009468	73009737	+	65	NA	exon (NM_008771, exon 6 of 12)	exon (NM_008771, exon 6 of 12)	9239	NR_152202	100043309	Mm.340872	NR_152202	ENSMUSG00000086943	4732414G09Rik	-	RIKEN cDNA 4732414G09 gene	ncRNA
Sanchez_et_al_peak_663	chr13	48552711	48552853	+	65	NA	Intergenic	Intergenic	-14510	NR_029725	387244		NR_029725	ENSMUSG00000065421	Mirlet7a-1	Let-7a|Mirnlet7a|Mirnlet7a-1|let-7a-1	microRNA let7a-1	ncRNA
Sanchez_et_al_peak_2329	chr7	112444649	112444788	+	65	NA	intron (NM_020606, intron 1 of 12)	intron (NM_020606, intron 1 of 12)	17012	NM_020606	57342	Mm.143763	NM_020606	ENSMUSG00000030770	Parva	2010012A22Rik|5430400F08Rik|AI225929|AU042898|Actp|CH-ILKBP|Parvin	parvin, alpha	protein-coding
Sanchez_et_al_peak_1850	chr5	24387374	24387540	+	65	NA	exon (NM_001002897, exon 7 of 14)	exon (NM_001002897, exon 7 of 14)	4686	NM_001002897	213948	Mm.332252	NM_001002897	ENSMUSG00000038295	Atg9b	Apg912|Apg9l2|Apgdc2|Gm574|Nos3as|eONE|sONE	autophagy related 9B	protein-coding
Sanchez_et_al_peak_1470	chr2	126782612	126782729	+	65	NA	intron (NM_029163, intron 1 of 6)	B3|SINE|B2	790	NM_029163	75083	Mm.389373	NM_029163	ENSMUSG00000027364	Usp50	1700086G18Rik|4930511O11Rik	ubiquitin specific peptidase 50	protein-coding
Sanchez_et_al_peak_2293	chr7	81789362	81789512	+	65	NA	promoter-TSS (NM_026077)	promoter-TSS (NM_026077)	18	NM_026077	67290	Mm.248391	NM_026077	ENSMUSG00000025102	3110040N11Rik	AI851475	RIKEN cDNA 3110040N11 gene	protein-coding
Sanchez_et_al_peak_819	chr15	5196076	5196231	+	65	NA	intron (NM_001355620, intron 2 of 4)	intron (NM_001355620, intron 2 of 4)	10593	NM_001355621	67515	Mm.254979	NM_026213	ENSMUSG00000022151	Ttc33	2410099M07Rik|2900001O04Rik|AI507072|AW538342|Osrf	tetratricopeptide repeat domain 33	protein-coding
Sanchez_et_al_peak_1060	chr16	95855431	95855672	+	65	NA	intron (NR_040484, intron 1 of 3)	B3|SINE|B2	43162	NR_040485	69776	Mm.120470	NR_040484	ENSMUSG00000117232	1600002D24Rik	-	RIKEN cDNA 1600002D24 gene	ncRNA
Sanchez_et_al_peak_1943	chr5	124366876	124367009	+	65	NA	Intergenic	B3|SINE|B2	-12314	NM_013812	13445	Mm.391838	NM_013812	ENSMUSG00000029394	Cdk2ap1	Apc10|Cdkap1|DORC1|Doc1|ST19|doc-1|p12	CDK2 (cyclin-dependent kinase 2)-associated protein 1	protein-coding
Sanchez_et_al_peak_2422	chr8	41015185	41015413	+	65	NA	intron (NM_001005863, intron 7 of 13)	intron (NM_001005863, intron 7 of 13)	-2439	NR_015457	78849	Mm.440930	NR_015457	ENSMUSG00000084960	B430010I23Rik	-	RIKEN cDNA B430010I23 gene	ncRNA
Sanchez_et_al_peak_1541	chr2	170184670	170184841	+	65	NA	Intergenic	Intergenic	9298	NR_157067	100502923	Mm.44078	NR_157067	ENSMUSG00000097514	Gm17619	-	predicted gene, 17619	ncRNA
Sanchez_et_al_peak_832	chr15	31141436	31141564	+	65	NA	Intergenic	Intergenic	-82885	NM_146057	223453	Mm.222867	NM_146057	ENSMUSG00000039168	Dap	4921531N22Rik|AI789753|AU040360	death-associated protein	protein-coding
Sanchez_et_al_peak_1802	chr4	141828201	141828526	+	65	NA	Intergenic	Intergenic	-2358	NM_007919	13706	Mm.45316	NM_007919	ENSMUSG00000058579	Cela2a	Ela-2|Ela2|Ela2a	chymotrypsin-like elastase family, member 2A	protein-coding
Sanchez_et_al_peak_312	chr11	6710432	6710554	+	65	NA	Intergenic	Intergenic	9544	NR_046025	626419	Mm.390334	NR_046025	ENSMUSG00000086808	Gm11981	-	predicted gene 11981	ncRNA
Sanchez_et_al_peak_237	chr10	82955302	82955423	+	65	NA	Intergenic	SSU-rRNA_Hsa|rRNA|rRNA	-30135	NM_021439	58250	Mm.360747	NM_021439	ENSMUSG00000034612	Chst11	1110020P09Rik|C4ST|C4ST-1|C4ST1|C4s	carbohydrate sulfotransferase 11	protein-coding
Sanchez_et_al_peak_148	chr1	191860010	191860127	+	65	NA	Intergenic	Intergenic	38595	NM_010892	18005	Mm.33773	NM_010892	ENSMUSG00000026622	Nek2	AA617254|C77054	NIMA (never in mitosis gene a)-related expressed kinase 2	protein-coding
Sanchez_et_al_peak_2285	chr7	75781481	75781772	+	65	NA	Intergenic	ID_B1|SINE|B4	-66712	NM_029652	207952	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding
Sanchez_et_al_peak_863	chr15	58507936	58508064	+	65	NA	Intergenic	Intergenic	-2048	NM_001370912	631797		NM_001370912	ENSMUSG00000037106	Fer1l6	EG631797	fer-1-like 6 (C. elegans)	protein-coding
Sanchez_et_al_peak_563	chr12	40223424	40223584	+	65	NA	promoter-TSS (NR_035459)	promoter-TSS (NR_035459)	140	NR_045157	629820	Mm.435540	NR_045157	ENSMUSG00000035983	Gm7008	EG629820	predicted gene 7008	ncRNA
